January 一月
February 二月
March 三月
April 四月
May 五月
June 六月
July 七月
September 九月
October 十月
November 十一月
December 十二月
Sunday 星期日
Monday 星期一
Tuesday 星期二
Wednesday 星期三
Thursday 星期四
Friday 星期五
Saturday 星期六
week 星期
weekday 週間
weekend 週末
season 季節
spring 春天
summer 夏天
autumn 秋天
winter 冬天
weather 天氣
climate 氣候
temperature 溫度
air 空氣
typhoon 颱風
lightning 閃電
rainbow 彩虹
snowman 雪人
cloud 雲
cloudy 多雲的
fog 霧
foggy 有濃霧的
rain 雨水,下雨
rainy 下雨的
snow 雪
snowy 下雪的
storm 突襲,暴風雨
stormy 暴風雨的
wind 風
windy 有風的
cold 冷的
cool 涼爽的
freezing 酷寒的
hot 熱的
humid 潮濕的
sunny 晴朗的
warm 溫暖的
direction 方向,說明
east 東方
north 北方
south 南方
west 西方
universe 宇宙
planet 行星
sun 太陽
moon 月亮
start 星星
earch 地球
world 世界
island 島嶼
land 陸地
coast 海岸
ocean 海洋
sea 海
lake 湖
pond 池塘
pool 水池
river 河
stream 溪流
waterfalls 瀑布
desert 遺棄,沙漠
rock 岩石
stone 石頭
sand 沙子
forest 森林
valley 山谷
mountain 山
hill 小山坡
sky 天空
thunder 雷
fire 火
ice 冰
nature 大自然
natural 自然的
shine 發光
plant 植物,栽種
grass 青草
flower 花
cotton 棉花
rose 玫瑰花
tree 樹
leaf 樹葉
seed 種子
root 根
woods 樹林
grow 成長,種植
animal 動物
pet 寵物
bird 鳥
duck 鴨子
goose 鵝
chicken 小雞,肌肉
hen 母雞
turkey 火雞
eagle 老鷹
parrot 鸚鵡
pigeon 鴿子
swallow 吞嚥,燕子
swan 天鵝
bat 蝙蝠
bear 熊
koala 無尾熊
panda 貓熊
cow 母牛,奶牛
ox 公牛
cat 貓
kitten 小貓
deer 鹿
dinosaur 恐龍
dog 狗
puppy 小狗
donkey 驢子
elephant 大象
fox 狐狸
goat 山羊
sheep 綿羊
lamb 小羊
hippo 河馬
horse 馬
zebra 斑馬
kangaroo 袋鼠
mouse 老鼠,滑鼠
rat 老鼠
lion 獅子
tiger 老虎
wolf 野狼
monkey 猴子
pig 豬
rabbit 兔子
frog 青蛙
turtle 烏龜
snail 蝸牛
snake 蛇
spider 蜘蛛
worm 蠕蟲
crab 螃蟹
dolphin 海豚
fish 魚
shark 鯊魚
whale 鯨魚
shrimp 蝦子
insect 昆蟲
ant 螞蟻
bee 蜜蜂
bug 蟲子
cockroach 蟑螂
butterfly 蝴蝶
mosquito 蚊子
breakfast 早餐
brunch 早午餐
lunch 午餐
dinner 晚餐
supper 晚餐
meal 一餐,膳食
buffet 自助餐
menu 菜單
delicious 美味的
yummy 好吃的
diet 節食,飲食
eat 吃
food 食物
meat 肉
barbecue 烤肉
beef 牛肉
steak 牛排
pork 豬肉
ham 火腿
hot dog 熱狗
dumpling 餃子
seafood 海鮮
egg 蛋
bread 麵包
bun 小圓麵包
sandwich 三明治
toast 烤土司,為...乾杯
burger 漢堡
hamburger 漢堡
French fries 薯條
pizza 披薩
spaghetti 義大利麵
noodle 麵
rice 飯,米
soup 湯
salad 沙拉
tofu 豆腐
pie 派
cake 蛋糕
candy 糖果
cereal 麥片
cheese 巧克力
dessert 甜點
doughnut 甜甜圈
ice cream 冰淇淋
popcorn 爆米花
nut 堅果,瘋子
snack 點心
butter 奶油
cream 鮮奶油,護膚霜
flour 麵粉
honey 蜂蜜
ketchup 番茄醬
oil 油
pepper 胡椒,胡椒粉
salt 鹽
soy-sauce 醬油
sugar 糖
vinegar 醋
fruit 水果
apple 蘋果
banana 香蕉
grape 葡萄
guava 芭樂
lemon 檸檬
mango 芒果
orange 柳橙,橘色的
papaya 木瓜
peach 桃子
pear 梨子
pineapple 鳳梨
strawberry 草莓
tangerine 橘子
watermelon 西瓜
vegetable 蔬菜
bean 豆
cabbage 高麗菜
carrot 紅蘿蔔
corn 玉米
lettuce 萵苣
onion 洋蔥
patato 馬鈴薯
pumpkin 南瓜
tomato 番茄
drink 飲料,喝
beer 啤酒
coffee 咖啡
cola 可樂
juice 果汁
milk 牛奶
soda 蘇打水,汽水
soft drink 汽水
tea 茶
family 家庭
aunt 阿姨,伯(叔舅)母
uncle 伯父,叔叔
brother 兄弟
sister 姊妹
cousin 表(堂)兄弟姊妹
daughter 女兒
son 兒子
father 爸爸
mother 媽媽
parent 雙親
granddaughter (外)孫女
grandson (外)孫子
grandfather 祖父(外公)
grandmother 祖母(外婆)
husband 丈夫
wife 妻子
nephew 姪子,外甥
niece 姪女,外甥女
relative 親戚,親屬
human 人類的,人
person 個人
people 人們
adult 成人
baby 嬰孩
child 小孩子
kid 孩子
teenager 青少年
boy 男孩
girl 女孩
gentleman 紳士
lady 淑女
ma'am 女士
sir 先生,長官
Miss 小姐
Mr. 先生
Mrs. 夫人,太太
man 男人
woman 女人
female 女性的,雌性動物
male 男性的,雄性動物
